User_name,when user commented?,Comments body,Number Of Likes,Number of Replies
Ma Cherié,5 days ago,Pimitive lot,,
Pedro Rodriguez,1 week ago,The Biden and the Democrats are just looking for a reason to start yet another senseless war.,37,View 4 replies
أسد عيني,1 day ago,False story cnn,,
funny ac video ac,4 days ago,Hello please reply me,,
faiza abdi,1 day ago,What is bad if the taliban doesn't want the Western influence media lies alot i swear what is better than Islamic government where women are respected the country will be at peace when sharia law is practiced,,View reply
Karuna 🤜🤛,4 days ago,America is the best country in the world.,,
hifi man,1 week ago,"Taliban: Screw your freedom!
Arnold Schwarzenegger: Screw your freedom!",46,View 3 replies
Christian Raymond,1 week ago (edited),GOD BLESS YOU ALL IN AFGHANISTAN RIGHT NOW 🙏🏼🙏🏼🙏🏼❤️❤️❤️,6,
Moises Aragom,1 week ago,😍😍,,
Trixie's Vlog,1 week ago,There is always 3 sides of the stories why how people do such things,1,View reply
Atcar Lumsy,1 week ago,"Taliban has been around much earlier than the 1980s.  There was, in the 1960s even a Harry Belafonte song : ""Come Mister Taliban, tally me banana"".",1,View reply
Healthy Homes of Lubbock,1 week ago,"Taliban is just like US government,tell you what you want to hear then do what gives them power",39,View 4 replies
Magic mushroom,1 week ago,I’m convinced we live in a simulation.,5,
Invokersm,1 week ago,This is the real call of duty 😂,,
Peter Draper,1 week ago,"The fearful fearless taxi emotionally travel because novel chronically perform regarding a salty brick. stupendous, tart slope",,
Aditi Rawat,1 week ago,"This feels so weird, she is speaking like meditation & yoga trainer. All that was missing was a ""Namaste"" in the end",15,View 2 replies
iTP Spt,1 month ago,"U can't win a Gorilla war with out local support. 
And if Taliban resisting last 20 years against Higest powers of the world then their must be support for them in Afghanistan.",18,View 15 replies
Normal Vector,1 week ago,I think I'm inlove with the narrator😳,,
Arzoo Singh,1 week ago,"Seems quite knowledgeable with Arab issue .
I am sure you must have done lot of ground reporting or not?",,
S.R.,1 week ago,"Well, this video aged well...",,
John O' Keeffe,1 week ago,Great bunch of lads,,
marzia sultana,1 month ago,"""Find your place in our Islamic Emirate""
~ Taleban

That always makes me feel wired.",26,View 4 replies
sammy Tiger,1 week ago,Taliban is now to implement sharia law. Those who don't know sharia law. Look it up.,2,View reply
Ray Ramos,1 week ago,THE MEDIA LIES MOST OFF THE TIMES,,
Mikayla Lynn,1 week ago,This aged well,,
J,1 week ago,"welp, this aged well",,
Invisible 👁️,2 months ago,"The usa made a mistake 
They underestimated Taliban 
And now they are getting a lesson for their life by paying their lives 😂
This is why you don't want to mess with Taliban 😎",11,View 16 replies
ELDHO ALIAS,4 days ago,One religion is the problem,,
funny ac video ac,4 days ago,I am from India,,
Kyle Stephney,6 days ago,Oof 💀,,
Abi Shafiq,6 days ago,Hummmmm when did they disappear?,,
Abu Bakr,2 months ago,How can Taliban make money off of opium when they themselves have banned it and it is forbidden in Sharia law ?,48,View 13 replies
John Gilmour,2 days ago,the taliban have demonstrated for centuries their inability to live in peaceful co-existence with any culture that prays to a different religion. In My Opinion!,1,
Samyo Travelogue,6 days ago,Why doesn't US nuke Taliban,,
Ahmed Hussein,5 days ago,Spoiler alert,,
Visible to no users on Youtube,1 day ago (edited),Islam is the problem,,
Sultan Mehmood Ghaznavi,2 months ago,"Talibans means ""students"". they are the legitimate and ultimate rulers of Afghanistan. you are in their land and its their God given and natural right to fight back, take their land back and kick the global murderers, terrorists and baby killers out of Afghanistan!
I just explained in one and a half line!",32,View 8 replies
jo manggo,6 days ago,"Afghan is not your business to begin with. If america wants to seek justice, start with Palestinian.",,
VARUN BINDRA,6 days ago,India will beat china,,
M.S. Ahmed,1 day ago,Fake news,,
Liberty&Nonintervention,2 days ago,Ans= Afghans,,
ThePr0gr4mm3r,2 months ago,"“How often has a small party prevailed against a large party by the leave of Allah.” Allah is with those who remain steadfast.""

Quran 2:249",69,View 20 replies
MsNYCVA,1 day ago,Why can’t the Americans come home and let them handle their own affairs.  I’m so sorry that  they involved Americans at all.  Now we have a overwhelming number of foreigners coming to the states🙄😳 carrying all their problems and needs with them.,,View reply
4kishiz,6 days ago,I see this news are us host.....so     ....this news are bullsh*tt,,
markman63,5 days ago,"Come Missa Taliban
Tali me Banana.",,
Azie Putra,3 days ago,she is reading text..,,
Z extrov,2 months ago,journalism has become a tool of psy ops.,12,
DXG,1 week ago,"A bunch of cavemen in rags with old AK-47s and homemade explosives beat the most powerful advanced army in the world....
 Amazing. I respect the Taliban a lot for that. It just shows how pathetic the USA actually is.",2,
Goku,1 week ago (edited),"US - ""Thank you for the hospitality, we enjoyed the vaccation very much""",,
Patrick Garcia,6 days ago,"The hulking rabbit additonally clip because cement fifthly afford on a savory stove. unique, unnatural saxophone",,
Mr. Shepherd's pie,1 week ago,this aged well,,
Do Not Cross,1 week ago,"Saigon 1975 US Ambassy vs Kabul 2021 US Ambassy
Who would be more humiliated?",10,View 7 replies
kkazimoto musa,1 week ago,Good historian teller...good work my dear,,
Nate M,1 week ago,This aged well,,
Rafa Kal,1 week ago,You missed what happened during 15 or more years on purpose,,
Major Pathetic,1 week ago,The video has aged like a fine wine,,
Emmanuel Minkoue,1 week ago,Ask relevant question like what the 20 years of illegal occupation have brought to the people in Afghanistan ? The media today is really controled,18,
Mia Cantalupo,1 week ago,"The zippy thermometer impressively peel because jaw allegedly look unto a sturdy bowl. spotted, plant octagon",,
Tom Nyadida,1 week ago,You've always got the contents well covered.,1,
Wilmson,1 week ago,"They have like 20 roads, of course they only needed those",,
HEALTH HARVARD BLOG,1 week ago,When you kills someone's family for no reason definitely they become talbans.,3,
Abdul Muneer Dost,2 months ago,"Bush said ...""The Taliban will pay the price""! I just wonder if USA got it wrong (same as in Iraq) or it is just part of USA war machine to pick a fight no matter what the consequences? Even if their own children will also pay the price? Calling it ""collateral damage"".
........Or could it be an outside force pushing USA to commit those mistakes?",23,View 2 replies
Tamaii Gubag,1 week ago,"Good brief explanation, I'd say you still haven't fully answered your own question.",,
Artemus Gregurek,1 week ago,"kids that were born in 2001 and 2002 knowing the education that they’re getting, probably don’t even know who the Taliban are,",,
Jesus is my Savior❤️,1 week ago,The war in my dream and the son of God will come back soon. I am ready 🙏 I feel like this is the start.,3,
Songaar,1 week ago,the next pablo escabar kingdom?,1,
Abdul Wahedy,2 months ago,More then 50% of Afghanistan is in the hand of Taliban.,32,View 5 replies
Lou Sirr,5 days ago,"“Who are the Taliban?” 
Joe Bidens New Best Friends",,
Mark Birch,4 days ago,Lies,,
Kim Jong-il,1 month ago,"Bush: Taliban should pay the price

On the Anti Helicopter missiles we gave them to fight the Soviets.",17,View reply
ExcuseMeNo ExcuseMeNo,1 week ago,"2 weeks from now, nobody will remember about Afghanistan😞",10,
lokmani bhatt,1 month ago,I wish Avengers and Justice leagues and Suicide Squad exists in reality so that innocent people can be protected ....,13,
Always has been Man,1 month ago,"""Women rights granted by Islam""
Is there?",14,View 6 replies
Julia D.,1 week ago,Little did we know...this will actually happen,16,View reply
kalam khan,2 months ago,What a support of Russian FSB Like The USA did while 1980.,30,View 4 replies
Irfan Pathan,2 months ago,Taliban defeat super power Amrica and his other allies,77,View 10 replies
Павлик Герман,1 month ago,"Very unbiased: ""0:52 Afgan guerillas fought soviet occupation""  and ""2:30 america invaded ... 3 years later got new constitution and elected president""",11,
The Info Spreader,2 months ago,"They're real fighters...people may have different views , whatever but they fight with bloods and bones with all out efforts... that's why all world powers got really tough times in Afghanistan to face them...",55,View 8 replies
Boyar,1 week ago,When you bring democracy everywhere.,49,View 15 replies
VeNoM LucifeR,1 week ago,"And now, They have captured Kabul.",13,
Snow White,1 week ago,"Friendly bunch of fellows, just want to dominate everyone and everything around them into submission.",11,View 4 replies
baguem’s kpop,1 month ago,"What they want to announce is not Islam at all, that’s not Islam.",17,
Chen chen,1 week ago,Lord God protect Us 🙏🙏🙏🙏🙏🙏🙏,12,
Swapnil Bhalerao,1 week ago (edited),"Unfortunately Taliban is entering the capital of Afghanistan,Kabul today as President Ashraf Ghani reportedly left Afghanistan. My Prayers for all the civilians. 🙏

Edit- Date 15th August 2021",25,
Franko Mrkic,1 week ago,"Watching this after they estimated the fall of Kabul in like 2 months. The Taliban took it over in 2 days. That just shows how united these guys are and even if you don't agree with them, and you don't support their religion, you have to respect their unity.",23,View 7 replies
lost,2 months ago,"""Taliban justice is pretty popular ! 
Is that not what every one want?",13,View 2 replies
Skylar Gomattum,1 week ago,"Lol, yesterday, I didn’t even know that the Taliban are separate from al Qaida.
And now, here I am with the rest of you, teaching myself all the history lessons I zoned out of back in school 😂",9,View 2 replies
llonesrics gg,1 week ago,"Taliban 1 at kabul:what now?
Taliban 2: don't know, didn't think we will get here.",,
Gerardo Ulloa,1 week ago,This is where Palantir comes into place lol,,
:D101,1 week ago,Well they wanted sleepy joe…,,
Rizo,1 week ago,"00:56 ""Soviet occupation"". Is Syria invasion by USA is an occupation? Why is different from what Americans did in Afghanistan? As what I know from history books, it was an aid for Afghan government from USSR not occupation",3,View 6 replies
hannan,1 month ago,The music after 6:20 sounds quite similar to BO 2 theme.,9,
abu namli,1 week ago,"Hi Sandra Cathmann of Al Jazeera, you're so lovely, rherotical, versatile n bright, we always welcome your reporting lovely especially so wt this beautiful topic of Taliban in afghanistan, hope they will do best to their country n countrymen, provide whatever beneficial   n goodwill to their fellowmen n to the world. Again al jazeera n  sandra, thanks for this info. Cheers n Godbless!⚘",,
SweetEvilGurl,1 week ago,"You’ll never know
Some Talibans could be watching this video right now",,
Truth BeTold,1 week ago (edited),Biden and Harris’ lack of common sense just never cease to amaze me.,13,View 3 replies
Carlos Pineda,1 week ago,Peace and love,,
Aguijon,1 month ago,I wonder if Rambo is still fighting for them,8,View reply
fritz cadelina,1 week ago,"The icky poison arguably tip because north korea univariably cheer out a plain memory. loving, inquisitive salesman",,
pinkyFROG SHOP,1 week ago,Insya Allah. 👍🏼,,
solar,1 week ago,this is starting to turn into a handmaids tale nightmare..,,
Mone Eleven,1 week ago,"Write an essay on what you think abt the New rule of Afghanistan? 
Competitive question for civil exam aspirants.",,
yru afredo,2 months ago,The Taliban came into being when tableeqi was asked to avenge a family who's daughters were raped by Tajiks and more and more people started to ask them for protection against Persian speaking bandits who robbed and killed for a living. The Taliban are god fearing honourable descendants of Musa as,8,View 4 replies
BLASTW4VE,1 week ago,I hope the people of Afghanistan and the military will find courage in themselves  to fight for their country,,
Sunil Sreesailam,1 week ago,"What's happening there in Yemen, Mali & Sudan, everywhere there no peace at all! Fundamentalism +Radicalism can rule a country like Afghan? I think in future the Nobel Peace should awarded for those who runs the coming afghanistan govt.?",,
Doremi Miredo,1 week ago,What if international presence agitates them?,,
abbyboyone,1 week ago (edited),these are the so called freedom fighters mujahadeen that we supported. watch rambo III. freedom fighters 😑,,
BE_ririka,1 month ago,"Government and big personalities and these grps only care about themselves, I'm thinking about poor afgan civilians, lots of prayers and blessings for them...",8,
Krishna Chaitanya,2 months ago,It's the USA which paid the price in the end 🙏🏻🙏🏻🙏🏻,8,View reply
fil fan,1 week ago,"watched this a month ago, watching again since taliban captures the capital Aug15,2021",9,
Harmen Greven,1 week ago,"Journalists should report: ""The United states, who has had soldiers in Afghanistan since 2001, but has manipulated the country since the early 80's....""
The US spending 1 Trillion like drunken sailors, via their privatized military and absurd  ideas how they were going to install an Afghan government, is not spending money really.",8,
javed siddique,1 month ago,"May Afghanistan, have peace.",8,View reply
Riley GShep,1 week ago,"Humans never learn, they are making the same mistakes over and over again, USA never learns",24,
akinci,1 month ago,"Pakistani keyboard warriors: Taliban will rule Afghanistan. They are the best.
Afghanis : What about your country? Let Taliban rule you. 
The same Pakistanis: We need democracy. We'll bomb them inside our territory.",203,View 38 replies
HAIDER VENTURES,2 months ago,TALIBAAN WILL COME WITH PEACE AFGHANISTAN AND TALIBAN WILL BE PERFECT TOGATGER,27,View 3 replies
Player205,1 week ago,The US has no reason to be this invested in another countries problem. We already have our own issues here,30,View 7 replies
alex albon,1 week ago,can we just appreciate how al Jazeera give us quality content everytime,32,View 5 replies
Uves Ansari,1 month ago,"Media: the America is leaving the region.
Reality: America is badly defeated, and now it is leaving.",382,View 30 replies
itsJacob72,2 months ago,"Taliban: Observe Sharia law or die

Also Taliban: Let's sell smack lol",65,View 14 replies
Jarrett Reboton,1 week ago,"As hard it is for us to accept, I think it is safe to say that the Talibans are native to Afghanistan.",14,View 2 replies
Jesse,1 week ago,Al Jazeera you've certainly been waiting for this,13,
Miltiades178,1 week ago,This aged well,13,
Umar Azeez,1 month ago,"Successful people don't become that way overnight. What most people see at a glance-wealth, a great career, purpose is a result of hard work and hustle over time. I pray that anyone who reads this will be successful in life",30,View 67 replies
Petar Ciglar,1 week ago,"USA : Casually equips terrorists
Also USA : imma go home now bye",18,View reply
Lance Lopez,1 month ago,We spent billions of dollars training the Afghan troops just for them to run away,16,View 4 replies
Its_Joe_tho,1 week ago (edited),How is that Biden wants the troops out by sep 11 2021 and the attack was on 2001 sep 11 is this all staged or is just a coincidence 🤔,13,
Mike Hog A Nator,1 week ago (edited),"Someone called this one! Taliban has now taken over almost all of Afghanistan. What a shame.. Women Can't Do this or That but the Taliban can Rape, kill, women & children",27,View reply
HJ,1 week ago,These lunatic tribal countries have been fighting each other forever.,9,
Andrew Maynard,1 week ago,This our Vietnam. 20 years... evacuate all citizens who want it and glass the rest,1,
Rich Crivaro,1 week ago,"They asked the leader of the Taliban about free speech he said ""GO ASK FACE BOOK FIRST BEFORE YOU CONDEM ME )  !!!!!",4,View reply
Bongo Fury,1 week ago,“A group of concerned citizens struggling for peaceful co-existence with modern civilization through discussion and thoughtful understanding”,2,
tresna dwipayana,1 week ago,"USA need to invest more trillion dollar in time machine research to help our brother Taliban going back to the circa 500 AD, where they can live there happily ever after",,
Erick Lovo,1 week ago,I see Civil War in Afghanistan after Taliban takeover within the next decade.,28,View 5 replies
Clay Webb,1 week ago,I think the horse has bolted already 😂,,
david harrison,1 week ago,spoiler alert: they've just taken over lol,,
Jason Rambarran,1 week ago,Isn't the Taliban like a gang or something?,,
S R,1 week ago,So covid 19 already ended now?,,
Ayush Tiwari,1 week ago,"""They offer justice""- biggest joke of the century.",54,View 4 replies
Southpaw Sharpshooter,1 week ago,9/11 happened 7 years after the formation of the Taliban. Imagine what they’re capable of 7 years after 2021 exit. Should be terrifying to everyone. War & bloodshed is part of the human experience. Who will bring peace?,4,View 2 replies
Freakken Bro,1 week ago,"Americans spread the Information, We Believe it.",,
F. Krueger,1 week ago,"Fast forward 17th Aug 2021, they have taken over.",1,
SandW6384,6 days ago,"hmm back in May this was made, however good choice with the narrator, she's hot",,
slick_jones,1 week ago,"The ending part felt a little out of touch, when your life is in constant danger, widespread corruption, no justice, they focused on women's rights at the end.... it seems like they have much bigger problems.",14,View 2 replies
David Hess,1 week ago,Way to go Joe.,,
Abdulah Syarifuddin,1 week ago (edited),Now they officially rule the country,,
EarthSurferUSA,1 week ago,How do you guys like everything other people built?  I wonder what it was like in the middle east before everything was blown to sand.,,
Luis Am,1 week ago,And all these 20 yrs where the taliban have been getting all those weapons from?,,
Fan.swagboiq,2 months ago,Investing in crypto is the only big chance of making money,66,View 42 replies
denisezi,1 week ago,You need to talk more about how Tailban was created by the Americans with the help of Arab money or is Aljaeezra too afraid to admit it??????,8,
Chatz Magutz,1 month ago,Not even Alexander The Great could take Afghanistan,45,View 16 replies
Xander cage,1 month ago,People like them and they are Mujahideen and noonr can fight Mujahideen❤️😎😏❤️,8,View reply
Lachailill McLennan,1 month ago,"This was a massive oversimplification and lacked any genuine insight into conflict and politics of Afghanistan or indeed the people of Afghanistan. For example it ignored the fact that the Taliban has just lost it's primary justification of armed conflict in Afghanistan, foreign occupation. It also failed to point out that the Afghani military is engaged in strategic withdrawal from non-essential areas to reinforce defences of essential areas such as towns, cities and essential infrastructure. It also failed to point out that in areas contested by the Taliban, militia organisations made up of ordinary Afghani citizens have formed and are retaliating against the Taliban and are co-ordinating with the Afghan military. Poor reporting Al Jazzeera, I'm very disappointed.",8,View 2 replies
Soldier for Christ,1 week ago,">85% of people had no sympathy for the Taliban
>Taliban conquers all of Afghanistan without a fight in a single day",12,View 2 replies
Rüo Azquara,1 week ago (edited),"They could not find a more gorgeous host
Latest update: Taliban took that whole country over in 4 days",29,
Mohammad Sharif,2 months ago,Allah save and bless Afghanistan 🇦🇫 from these monsters,43,View 4 replies
jason lu,1 week ago,"Go ask Rambo, he knows better then any of you, he was fighting the Soviet union with Taliban.",21,View 2 replies
uzair saeed,2 months ago,"Al Jazeera: start here
Taliban : end here",9,
sod off,1 month ago,"If you think Americans lost the war, you never knew their agenda in the first place.",9,View 3 replies
Travel sphere,1 month ago,They have all the rights to kill anyone in the name of religion? What kind of faith this is? Why people can't choose their path of living?,10,View 9 replies
Vonn Vonn,1 week ago,Everything and everyone is messed up. The entire world is messed up and somehow too many humans in the world thinks it's okay smh.,20,View 3 replies
mirza sarfraz,2 months ago,Khilaaf is only the way for Pease in the world........ ❤,9,
Eric Sanford,2 months ago,"“Iran” funding the Taliban??? Wow!!! Al Jazeera, please don’t spin the facts!!!",35,View 29 replies
Ali 225,1 month ago,Do not throw the crime of drugs on the taliban it was grown by the afghan government and collected by the Americans.,19,View reply
fancho123,1 week ago,its so frustrating for me that most people in my country supports the Taliban movement because Taliban made the negotiation video and they believe their words straight away without knowing their history.,14,View 3 replies
Thusahtani,1 week ago,"""The question now is what will happen when the roughly 10k US and NATO soldiers leave?""

Well we are seeing the answer now and maybe will see more",15,View 6 replies
Arbaz Abid,2 months ago,The people like these so-called Afghan journalists talking to Al Jazeera are not even telling the truth. You need to go out in Afghanistan and talk to the locals to see the real picture and what they think of Talibans.,65,View 17 replies
Hissen Daud,2 months ago,Just I 👲 wanna a peace 🐦and ❤ in our world 🌐,15,View 2 replies
,,,,
